name,bookings,rating,reviews,price,cuisine,location
Thai72,NA,4.5,324,2,Thai,Upper West Side
Il Violino,NA,4.6,1482,3,Italian,Upper West Side
Bocado Cafe,24,4.5,750,2,American,Upper East Side
Korali,26,4.6,986,3,Greek,Upper East Side
Porter House Bar and Grill,57,4.7,4918,4,American,Midtown West
BLT Prime,17,4.7,443,2,Steakhouse,Upper East Side
Serafina 79,48,4.3,486,3,Italian,Upper East Side
Masseria dei Vini,32,4.7,1965,3,Italian,Midtown West
Coppola's West,9,4.3,1012,3,Italian,Upper West Side
Bettola NYC,2,4.5,512,2,Italian,Upper West Side
Barawine,23,4.5,479,2,French,Harlem
Villa Amalfi,NA,4.7,79,3,Italian,Cliffside Park
Shun Lee West,40,4.3,2882,3,Chinese,Lincoln Square
Siena Cafe,NA,4.5,288,3,Italian,Upper East Side
Blume/Hütte,7,4.5,149,3,Austrian,Upper East Side
Skinny's Cantina on the Hudson,NA,4.2,24,2,Mexican,Harlem
Tarallucci e Vino - Upper West Side,NA,4.6,144,3,Italian,Upper West Side
Jacques Brasserie,20,4.5,1048,3,French,Upper East Side
Joanne Trattoria,15,4.0,2688,3,Italian,Lincoln Square
Manny's Bistro,3,4.4,698,3,French,Upper West Side
Sugar Bar,NA,4.9,360,2,Soul food,Upper West Side
Sapphire,NA,4.4,1553,2,Indian,Lincoln Square
Lexington Pizza Parlour,3,4.6,5,2,Italian,East Harlem
Sojourn Restaurant,NA,4.6,1715,2,Contemporary American,Upper East Side
San Matteo Pizzeria e Cucina,10,4.7,216,2,Pizzeria,Upper East Side
Bookmarks,NA,5.0,3,3,Tapas / Small Plates,Midtown East
P.F. Chang's - West New York,NA,4.3,89,2,Asian,West New York
Maxwell's Central Park,6,4.5,118,2,American,Harlem
Gray Hawk Grill,NA,4.7,108,3,American,Upper East Side
Sushi Damo,NA,4.5,434,3,Japanese,Midtown West
Bluebird London NYC,NA,4.6,236,3,British,Columbus Circle
Ascent Lounge New York,NA,4.7,135,2,American,Midtown West
Osteria Laura NYC,1,4.3,17,3,Italian,Harlem
Luna Rossa Ristorante,NA,4.7,641,3,Italian,Upper East Side
Da Capo,1,3.9,17,2,Contemporary American,Upper West Side
Bua Thai Ramen & Robata Grill,8,4.4,94,2,Unspecified,Upper East Side
Atlantic Grill,NA,4.5,25,4,Seafood,Lincoln Square
The Daisy,NA,4.2,256,3,Cocktail Bar,Upper East Side
Osteria Nando,NA,4.3,59,3,Mediterranean,Upper East Side
The Greek Kitchen,10,4.4,739,2,Greek,Hell's Kitchen
Italianissimo,NA,4.9,467,2,Italian,Upper East Side
Renaissance Harlem,2,4.5,196,2,American,Harlem
Harlem Hops,NA,NA,NA,3,Gastro Pub,Harlem
Wa Jeal,1,4.8,275,2,Chinese,Upper East Side
The Corner Lounge,NA,NA,NA,2,American,East Harlem
L' Artista,NA,4.4,2,2,Italian,Harlem
Amor Cubano,NA,4.7,426,2,Cuban,Harlem
ABA Turkish Restaurant,12,4.6,553,2,Turkish,Midtown West
Eats,NA,4.0,690,2,American,Upper East Side
Tandoor Oven,NA,4.6,19,2,Contemporary Indian,Upper East Side
La Fonda,NA,4.2,2,2,Puerto Rican,Carnegie Hill
Social 59 Eatery & Lounge,NA,4.2,17,3,Latin American,West New York
Delizia 92,NA,4.4,80,2,Pizzeria,Yorkville
Hamilton Hall NYC,NA,NA,NA,2,Gastro Pub,Harlem
Enzo Bruni La Pizza Gourmet,14,4.7,2,2,Pizzeria,Upper East Side
El Paso Mexican Restaurants East Harlem,5,4.2,6,3,Contemporary Mexican,East Harlem
Cove Lounge,NA,3.7,5,3,Southern,Harlem
Melba's,NA,4.6,265,4,American,Harlem
Robert,NA,4.6,7211,3,Contemporary American,Columbus Circle
The Cecil Steakhouse,3,4.5,1464,3,American,Harlem
Aunt Jake's Upper East Side,NA,4.7,81,3,Contemporary Italian,Upper East Side
Bareburger - Edgewater,5,NA,NA,2,American,Edgewater
Bosino,1,4.6,3,2,Italian,Upper West Side
Crave Fishbar - UWS,20,4.6,1445,2,Seafood,Upper West Side
The Ellington,19,4.3,273,2,American,Upper West Side
Rumba Cubana - Guttenberg,NA,4.6,160,2,Cuban,West New York
My Pizza Kebab,1,NA,NA,2,Turkish,Cliffside Park
Alachi Masala,NA,4.0,65,2,Indian,Upper West Side
Marmaris Cafe,NA,4.5,63,2,Turkish,Edgewater
Rudy's Seafood,NA,4.4,74,2,Seafood,Cliffside Park
MEYHANE,NA,4.6,8,2,Mediterranean,Cliffside Park
Ashoka - Upper West Side,NA,4.4,101,2,Indian,Upper West Side
Sarabeth's West,NA,4.2,1935,2,American,Upper West Side
Massawa - NY,NA,NA,NA,2,African,Harlem
Emma Bistro formerly Emma of Englewood,NA,4.6,10,2,Contemporary American,Edgewater
Bettolona,NA,4.3,117,2,Italian,Harlem
L'Angolo Trattoria,20,4.4,33,2,Italian,Cliffside Park
Sushi Kaito,7,4.7,443,4,Sushi,Upper West Side
Dear Mama - Manhattanville,2,NA,NA,2,Café,Harlem
Sistina,7,4.7,934,3,Italian,Upper East Side
Sugar Factory Broadway,NA,NA,NA,3,American,Upper West Side
Atlas Kitchen,NA,4.3,14,2,Chinese,Upper West Side
Big Nick's,6,NA,NA,2,Pizzeria,Upper West Side
Kappo Masa,39,4.8,417,4,Japanese,Upper East Side
Kebab Istanbul,NA,5.0,1,2,Turkish,Union City
Snow Globes at NoHu Rooftop,NA,4.3,53,3,American,Weehawken
Giovanni Venticinque,NA,4.5,300,3,Italian,Upper East Side
The Lexington Social,NA,4.3,18,2,International,Harlem
Ginny’s Supper Club,NA,4.4,478,3,American,Harlem
Harlem Ale House,NA,4.3,14,2,American,Harlem
Sofrito NYC,12,4.4,1114,2,Latin / Spanish,Harlem
Sant Ambroeus - Madison Avenue,11,4.6,663,4,Italian,Upper East Side
The Smith Pizza Joint - Lincoln Square,14,NA,NA,2,Pizzeria,Lincoln Square
Harlem Wine Room,NA,4.8,7,3,Wine Bar,Harlem
Dear Mama - East Harlem,NA,NA,NA,2,Café,East Harlem
Tenzan 89,NA,4.0,6,2,Japanese Speciality,Upper East Side
Shoga Sushi,NA,4.4,9,2,Sushi,Upper East Side
Storico,NA,4.8,1595,3,Contemporary Italian,Upper West Side
The Jin,NA,4.6,19,2,Korean,Midtown West
P.J. Clarke's-Lincoln Square,27,4.1,928,2,American,Lincoln Square
